"","var","rel.inf"
"sched_dep_time_num_minute","sched_dep_time_num_minute",28.2566428559352
"model","model",23.7984531220353
"dest","dest",10.5999503497554
"month","month",8.66509832223376
"carrier","carrier",8.30062010340774
"dewp","dewp",4.56172388758702
"origin","origin",2.95021374282762
"sched_arr_time_num_minute","sched_arr_time_num_minute",2.46022924845804
"precip","precip",2.3828674541062
"pressure","pressure",1.95739656804113
"humid","humid",1.71973871057107
"dep_delay_flag","dep_delay_flag",1.65759253785244
"day","day",1.09932705483167
"temp","temp",0.929943657120507
"pressure_flag","pressure_flag",0.309089347820466
"wind_speed","wind_speed",0.228872648108354
"sched_dep_time_minute","sched_dep_time_minute",0.0876502343897424
"name","name",0.0220943943175341
"visib","visib",0.0124957606007237
"distance","distance",0
"wind_dir","wind_dir",0
"lat","lat",0
"lon","lon",0
"alt","alt",0
"tz","tz",0
"dst","dst",0
"tzone","tzone",0
"year.y","year.y",0
"type","type",0
"manufacturer","manufacturer",0
"engines","engines",0
"seats","seats",0
"engine","engine",0
"sched_arr_time_minute","sched_arr_time_minute",0
"sched_air_time","sched_air_time",0
"temp_flag","temp_flag",0
"wind_dir_flag","wind_dir_flag",0
"wind_speed_flag","wind_speed_flag",0
"precip_flag","precip_flag",0
"name_flag","name_flag",0
"year.y_flag","year.y_flag",0
"type_flag","type_flag",0
